Site type,Year,Mean concentration of NO2 (µg/m3),CI,Lower Bound (95% confidence interval for 'All sites'),Upper Bound (95% confidence interval for 'All sites')
Rural Background,1997,17.686948278641417,15.836476796917623,1.850471481723794,33.52342507555904
Rural Background,1998,14.483484598987197,6.125076391884707,8.358408207102489,20.608560990871904
Rural Background,1999,15.95375626523822,14.936056850139842,1.0176994150983774,30.88981311537806
Rural Background,2000,13.971204076813233,4.934370488097564,9.03683358871567,18.905574564910797
Rural Background,2001,15.474708605302071,5.145206832999082,10.32950177230299,20.619915438301152
Rural Background,2002,12.934627025714967,4.987932701949087,7.94669432376588,17.922559727664055
Rural Background,2003,14.940280717671753,4.744292816747687,10.195987900924067,19.68457353441944
Rural Background,2004,11.213787242772915,3.030747838569511,8.183039404203404,14.244535081342425
Rural Background,2005,10.35510577701316,2.7192215859087514,7.635884191104408,13.074327362921911
Rural Background,2006,10.449308527586217,2.8752972691026897,7.574011258483527,13.324605796688907
Rural Background,2007,10.452094495261182,2.476688079328883,7.9754064159323,12.928782574590064
Rural Background,2008,8.953736454052322,2.154343993422902,6.79939246062942,11.108080447475224
Rural Background,2009,8.994046701274382,2.1497330465183087,6.844313654756073,11.14377974779269
Rural Background,2010,9.371706814173265,2.7144952515075342,6.657211562665731,12.0862020656808
Rural Background,2011,9.226400455880995,2.7272767062706302,6.499123749610365,11.953677162151624
Rural Background,2012,9.731611538932711,3.114814090690635,6.616797448242076,12.846425629623345
Rural Background,2013,8.675177715357249,2.89348929030135,5.781688425055899,11.568667005658599
Rural Background,2014,7.9799167962852975,2.5498597876575144,5.430057008627783,10.529776583942812
Rural Background,2015,7.038872606460024,2.388114727535061,4.6507578789249635,9.426987333995084
Rural Background,2016,8.671214983737393,2.463093039355791,6.2081219443816025,11.134308023093183
Rural Background,2017,7.583856868102635,2.4420960975174046,5.141760770585231,10.02595296562004
Rural Background,2018,7.157888036119297,2.0450861956891395,5.112801840430157,9.202974231808437
Rural Background,2019,7.1847242112056735,2.2473383493526877,4.937385861852986,9.43206256055836
Rural Background,2020,5.526065486394602,1.9096999608576242,3.6163655255369775,7.435765447252226
Rural Background,2021,5.758472264055988,1.8195043458709277,3.9389679181850603,7.577976609926916
Rural Background,2022,6.041750516591967,1.7262536652478262,4.3154968513441405,7.768004181839793
Rural Background,2023,5.1845492229323105,1.8737024489626575,3.310846773969653,7.058251671894968
Rural Background,2024,4.6715170878455945,1.5789542714620326,3.0925628163835617,6.250471359307627
Rural Background,2025,4.955676191834742,1.7784519380090462,3.1772242538256963,6.734128129843788
Urban Background,1990,53.79893864989998,13.870858024539638,39.928080625360344,67.66979667443962
Urban Background,1991,58.690954278388105,13.33657925504179,45.354375023346314,72.0275335334299
Urban Background,1992,59.75299844025324,8.059958077084122,51.69304036316912,67.81295651733737
Urban Background,1993,52.20461275626263,4.375017465516854,47.82959529074577,56.57963022177948
Urban Background,1994,49.036977077139085,3.611386536629817,45.42559054050927,52.6483636137689
Urban Background,1995,48.02974649415015,3.618984473191071,44.41076202095908,51.64873096734122
Urban Background,1996,47.37690937665374,3.202696339827851,44.17421303682589,50.579605716481595
Urban Background,1997,46.04241650984854,3.0102437855460464,43.0321727243025,49.05266029539459
Urban Background,1998,40.67055015715819,2.929733037721304,37.74081711943688,43.600283194879495
Urban Background,1999,39.70149469137918,3.0659350769474822,36.6355596144317,42.767429768326664
