Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Traffic,1997,7,mod_4,14.857142857142858
Urban Traffic,1998,15,mod_4,13.4
Urban Traffic,1999,17,mod_4,9.588235294117647
Urban Traffic,2000,19,mod_4,7.842105263157895
Urban Traffic,2001,21,mod_4,5.142857142857143
Urban Traffic,2002,21,mod_4,2
Urban Traffic,2003,20,mod_4,25.4
Urban Traffic,2004,22,mod_4,24.954545454545453
Urban Traffic,2005,22,mod_4,38.04545454545455
Urban Traffic,2006,21,mod_4,34.76190476190476
Urban Traffic,2007,18,mod_4,34.388888888888886
Urban Traffic,2008,24,mod_4,38.208333333333336
Urban Traffic,2009,27,mod_4,20.962962962962962
Urban Traffic,2010,30,mod_4,25.7
Urban Traffic,2011,31,mod_4,12.612903225806452
Urban Traffic,2012,29,mod_4,9.10344827586207
Urban Traffic,2013,32,mod_4,4.65625
Urban Traffic,2014,28,mod_4,3.9285714285714284
Urban Traffic,2015,38,mod_4,4.868421052631579
Urban Traffic,2016,50,mod_4,5.22
Urban Traffic,2017,61,mod_4,2.7868852459016393
Urban Traffic,2018,63,mod_4,1.4444444444444444
Urban Traffic,2019,66,mod_4,0.7727272727272727
Urban Traffic,2020,65,mod_4,0.13846153846153847
Urban Traffic,2021,62,mod_4,0.08064516129032258
Urban Traffic,2022,65,mod_4,0.046153846153846156
Urban Traffic,2023,61,mod_4,0.01639344262295082
Urban Traffic,2024,64,mod_4,0.0625
Urban Traffic,2025,60,mod_4,0
Urban Traffic,1997,7,mod_5,2.5714285714285716
Urban Traffic,1998,15,mod_5,0.6666666666666666
Urban Traffic,1999,17,mod_5,0.47058823529411764
Urban Traffic,2000,19,mod_5,0.2631578947368421
Urban Traffic,2001,21,mod_5,1.0476190476190477
Urban Traffic,2002,21,mod_5,0.8095238095238095
Urban Traffic,2003,20,mod_5,2.55
Urban Traffic,2004,22,mod_5,1.4090909090909092
Urban Traffic,2005,22,mod_5,5.090909090909091
Urban Traffic,2006,21,mod_5,3.0476190476190474
Urban Traffic,2007,18,mod_5,3.5555555555555554
Urban Traffic,2008,24,mod_5,3.7916666666666665
Urban Traffic,2009,27,mod_5,0.48148148148148145
Urban Traffic,2010,30,mod_5,1.7666666666666666
