Site type,Year,Number of sites,Mean concentration of PM10 (µg/m3),CI,Lower Bound (95% confidence interval for 'All sites'),Upper Bound (95% confidence interval for 'All sites')
Urban Background,1992,3,36.14855486568851,7.1672865232307705,28.98126834245774,43.31584138891928
Urban Background,1993,6,35.21320698933412,4.077449193551504,31.135757795782613,39.29065618288562
Urban Background,1994,13,32.37278514785897,2.894085280672525,29.478699867186446,35.2668704285315
Urban Background,1995,13,31.25181086763161,1.9100174123446747,29.341793455286936,33.161828279976284
Urban Background,1996,16,32.050148492738764,1.7065488723843985,30.343599620354365,33.75669736512316
Urban Background,1997,26,29.850606977156342,1.2719769725299674,28.578630004626376,31.12258394968631
Urban Background,1998,33,25.933556936795988,1.006275466749482,24.927281470046506,26.93983240354547
Urban Background,1999,33,24.032113362775956,0.8763896772405402,23.155723685535417,24.908503040016495
Urban Background,2000,34,22.945222332616716,0.9731938234140535,21.972028509202662,23.91841615603077
Urban Background,2001,43,23.299754181095725,1.2085431406065514,22.091211040489174,24.508297321702276
Urban Background,2002,40,22.569196721829865,0.8667043425845111,21.702492379245353,23.435901064414377
Urban Background,2003,39,24.96045758540026,1.093858308280563,23.866599277119697,26.054315893680823
Urban Background,2004,41,21.748812349140223,0.9457281028799207,20.8030842462603,22.694540452020146
Urban Background,2005,39,22.238431674300465,1.1240450178573758,21.114386656443088,23.36247669215784
Urban Background,2006,41,23.853097269355697,1.0399074816788,22.813189787676897,24.893004751034496
Urban Background,2007,35,21.61186179705534,1.0448103008591625,20.56705149619618,22.6566720979145
Urban Background,2008,31,18.68472055713163,0.8760276066026745,17.808692950528954,19.560748163734306
Urban Background,2009,22,18.852300641992368,1.089490510953481,17.762810131038886,19.94179115294585
Urban Background,2010,20,18.6991231690297,1.3637286714129893,17.33539449761671,20.06285184044269
Urban Background,2011,24,19.84286807256227,1.2411514640836472,18.601716608478622,21.084019536645915
Urban Background,2012,25,16.976701364734353,1.1826791424375493,15.794022222296803,18.159380507171903
Urban Background,2013,21,16.879193810793442,1.2780551117367838,15.601138699056659,18.157248922530226
Urban Background,2014,24,16.773201989697323,0.979983150260983,15.79321883943634,17.753185139958305
Urban Background,2015,23,15.157977488072857,1.0318564791809024,14.126121008891955,16.18983396725376
Urban Background,2016,22,15.57595767064438,1.1326043985224856,14.443353272121895,16.708562069166867
Urban Background,2017,24,14.22653795646246,1.0000657921008824,13.226472164361578,15.226603748563342
Urban Background,2018,22,14.873189983053463,0.9889712825661751,13.884218700487288,15.862161265619637
Urban Background,2019,26,15.026478632553394,0.8449630575682763,14.181515574985117,15.87144169012167
Urban Background,2020,40,13.221853820352171,0.675681589663775,12.546172230688397,13.897535410015946
Urban Background,2021,38,12.971945449549507,0.59151690099748,12.380428548552027,13.563462350546986
Urban Background,2022,44,13.956842759038972,0.5878088552897124,13.36903390374926,14.544651614328684
Urban Background,2023,53,12.273542302034349,0.5030534976610459,11.770488804373302,12.776595799695395
Urban Background,2024,57,11.826146189533004,0.4170641093934197,11.409082080139584,12.243210298926424
Urban Background,2025,69,13.236897933072823,0.39768884734475524,12.839209085728069,13.634586780417578
Roadside,1997,4,36.73135880040706,7.629441904830186,29.10191689557687,44.360800705237246
Roadside,1998,7,32.97519491455539,4.470492439159247,28.50470247539614,37.44568735371463
Roadside,1999,7,31.736103852748283,6.350421809907833,25.38568204284045,38.086525662656115
Roadside,2000,7,30.833075976655348,7.576781976746704,23.256293999908642,38.40985795340205
Roadside,2001,7,31.55093257217086,5.578504600462072,25.97242797170879,37.12943717263293
Roadside,2002,9,29.167475259785125,5.088923497021416,24.07855176276371,34.25639875680654
Roadside,2003,10,30.47050835649568,6.489799172952847,23.980709183542835,36.96030752944853
Roadside,2004,10,26.30201534169401,6.318928492078027,19.983086849615983,32.62094383377204
Roadside,2005,10,27.391911283660615,6.06108767406778,21.330823609592834,33.4529989577284
Roadside,2006,10,29.89991093571985,6.906540628343321,22.993370307376527,36.80645156406317
Roadside,2007,9,26.12529624874351,7.682274634123763,18.443021614619745,33.807570882867275
Roadside,2008,13,22.39409560916307,3.7914736641059754,18.602621945057095,26.185569273269046
Roadside,2009,16,20.266084958362487,2.6809973024455065,17.58508765591698,22.947082260807996
Roadside,2010,16,21.659442713376993,2.8399469956046755,18.81949571777232,24.499389708981667
Roadside,2011,15,22.924186174616622,3.24886460612274,19.67532156849388,26.173050780739363
Roadside,2012,19,20.04144488740753,2.007952182412458,18.03349270499507,22.04939706981999
Roadside,2013,16,20.44818410579826,2.270840886797353,18.177343219000907,22.71902499259561
Roadside,2014,15,18.740210469650115,2.0852499175453514,16.654960552104765,20.825460387195466
Roadside,2015,21,17.231054502087083,1.3508011287246822,15.8802533733624,18.581855630811766
Roadside,2016,25,18.47210530763098,1.7443931218712014,16.727712185759778,20.21649842950218
Roadside,2017,29,17.248447437850043,1.4974772588896423,15.7509701789604,18.745924696739685
Roadside,2018,30,18.545331062053346,1.1576948511665168,17.38763621088683,19.703025913219864
Roadside,2019,37,17.993980603019736,1.272222821304657,16.72175778171508,19.26620342432439
Roadside,2020,36,16.33014705569905,1.2164253001793504,15.1137217555197,17.5465723558784
Roadside,2021,34,15.89658736433486,1.1897720442875892,14.70681532004727,17.08635940862245
Roadside,2022,35,16.90345904475588,1.3722879592977784,15.531171085458102,18.27574700405366
Roadside,2023,36,15.26621871795244,1.2362992225944467,14.029919495357992,16.502517940546888
Roadside,2024,36,14.657544100058011,1.1188021837261017,13.53874191633191,15.776346283784113
Roadside,2025,40,15.849526888230223,1.173161189844879,14.676365698385343,17.022688078075102
