Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Traffic,1997,4,mod_4,577.25
Urban Traffic,1998,7,mod_4,460.42857142857144
Urban Traffic,1999,7,mod_4,432.14285714285717
Urban Traffic,2000,7,mod_4,461.85714285714283
Urban Traffic,2001,7,mod_4,404.7142857142857
Urban Traffic,2002,7,mod_4,416
Urban Traffic,2003,7,mod_4,625.1428571428571
Urban Traffic,2004,7,mod_4,455.57142857142856
Urban Traffic,2005,7,mod_4,455.2857142857143
Urban Traffic,2006,7,mod_4,577
Urban Traffic,2007,6,mod_4,431.5
Urban Traffic,2008,11,mod_4,158.45454545454547
Urban Traffic,2009,14,mod_4,104.07142857142857
Urban Traffic,2010,14,mod_4,120.35714285714286
Urban Traffic,2011,13,mod_4,224.3846153846154
Urban Traffic,2012,16,mod_4,125.25
Urban Traffic,2013,13,mod_4,108.46153846153847
Urban Traffic,2014,13,mod_4,96.6923076923077
Urban Traffic,2015,18,mod_4,72.05555555555556
Urban Traffic,2016,23,mod_4,58.69565217391305
Urban Traffic,2017,27,mod_4,62.592592592592595
Urban Traffic,2018,30,mod_4,42.233333333333334
Urban Traffic,2019,37,mod_4,81.02702702702703
Urban Traffic,2020,35,mod_4,23.542857142857144
Urban Traffic,2021,33,mod_4,28.575757575757574
Urban Traffic,2022,35,mod_4,48.97142857142857
Urban Traffic,2023,36,mod_4,26.63888888888889
Urban Traffic,2024,36,mod_4,14.416666666666666
Urban Traffic,2025,40,mod_4,42.275
Urban Traffic,1997,4,mod_5,305
Urban Traffic,1998,7,mod_5,255.85714285714286
Urban Traffic,1999,7,mod_5,224.28571428571428
Urban Traffic,2000,7,mod_5,259.85714285714283
Urban Traffic,2001,7,mod_5,183
Urban Traffic,2002,7,mod_5,191.14285714285714
Urban Traffic,2003,7,mod_5,403.57142857142856
Urban Traffic,2004,7,mod_5,196.28571428571428
Urban Traffic,2005,7,mod_5,225.57142857142858
Urban Traffic,2006,7,mod_5,334.57142857142856
Urban Traffic,2007,6,mod_5,243
Urban Traffic,2008,11,mod_5,71.81818181818181
Urban Traffic,2009,14,mod_5,57.357142857142854
Urban Traffic,2010,14,mod_5,59.57142857142857
Urban Traffic,2011,13,mod_5,115.61538461538461
Urban Traffic,2012,16,mod_5,74.1875
Urban Traffic,2013,13,mod_5,60
Urban Traffic,2014,13,mod_5,45.07692307692308
Urban Traffic,2015,18,mod_5,39.22222222222222
Urban Traffic,2016,23,mod_5,28.043478260869566
Urban Traffic,2017,27,mod_5,30.11111111111111
Urban Traffic,2018,30,mod_5,14.8
Urban Traffic,2019,37,mod_5,43.270270270270274
Urban Traffic,2020,35,mod_5,6.942857142857143
Urban Traffic,2021,33,mod_5,9.848484848484848
Urban Traffic,2022,35,mod_5,26.742857142857144
Urban Traffic,2023,36,mod_5,11
Urban Traffic,2024,36,mod_5,5.416666666666667
Urban Traffic,2025,40,mod_5,19.375
Urban Traffic,1997,4,mod_6,175.5
Urban Traffic,1998,7,mod_6,124.85714285714286
Urban Traffic,1999,7,mod_6,107
Urban Traffic,2000,7,mod_6,85.42857142857143
Urban Traffic,2001,7,mod_6,92.57142857142857
Urban Traffic,2002,7,mod_6,77.71428571428571
Urban Traffic,2003,7,mod_6,239
Urban Traffic,2004,7,mod_6,91.14285714285714
Urban Traffic,2005,7,mod_6,93.85714285714286
Urban Traffic,2006,7,mod_6,171.71428571428572
Urban Traffic,2007,6,mod_6,111.16666666666667
Urban Traffic,2008,11,mod_6,35.18181818181818
Urban Traffic,2009,14,mod_6,24.785714285714285
Urban Traffic,2010,14,mod_6,30.428571428571427
Urban Traffic,2011,13,mod_6,83.23076923076923
Urban Traffic,2012,16,mod_6,41.125
Urban Traffic,2013,13,mod_6,36.15384615384615
Urban Traffic,2014,13,mod_6,30.615384615384617
Urban Traffic,2015,18,mod_6,14.5
Urban Traffic,2016,23,mod_6,20.52173913043478
Urban Traffic,2017,27,mod_6,12.88888888888889
Urban Traffic,2018,30,mod_6,5.2
Urban Traffic,2019,37,mod_6,30.324324324324323
Urban Traffic,2020,35,mod_6,6.114285714285714
Urban Traffic,2021,33,mod_6,2.0606060606060606
Urban Traffic,2022,35,mod_6,14.542857142857143
Urban Traffic,2023,36,mod_6,3.8333333333333335
Urban Traffic,2024,36,mod_6,1.75
Urban Traffic,2025,40,mod_6,6.05
Urban Traffic,1997,4,high_7,126.75
Urban Traffic,1998,7,high_7,58.285714285714285
Urban Traffic,1999,7,high_7,30.428571428571427
Urban Traffic,2000,7,high_7,32.714285714285715
Urban Traffic,2001,7,high_7,44
Urban Traffic,2002,7,high_7,20.571428571428573
Urban Traffic,2003,7,high_7,130.57142857142858
Urban Traffic,2004,7,high_7,25.857142857142858
Urban Traffic,2005,7,high_7,37.857142857142854
Urban Traffic,2006,7,high_7,54.714285714285715
Urban Traffic,2007,6,high_7,55.5
Urban Traffic,2008,11,high_7,18.181818181818183
Urban Traffic,2009,14,high_7,7.285714285714286
Urban Traffic,2010,14,high_7,14
Urban Traffic,2011,13,high_7,37.23076923076923
Urban Traffic,2012,16,high_7,20
Urban Traffic,2013,13,high_7,10.307692307692308
Urban Traffic,2014,13,high_7,13.923076923076923
Urban Traffic,2015,18,high_7,1.1111111111111112
Urban Traffic,2016,23,high_7,11.695652173913043
Urban Traffic,2017,27,high_7,3.4814814814814814
Urban Traffic,2018,30,high_7,2
Urban Traffic,2019,37,high_7,6.162162162162162
Urban Traffic,2020,35,high_7,2.6285714285714286
Urban Traffic,2021,33,high_7,0.36363636363636365
Urban Traffic,2022,35,high_7,4.228571428571429
Urban Traffic,2023,36,high_7,0.7222222222222222
Urban Traffic,2024,36,high_7,1.4166666666666667
Urban Traffic,2025,40,high_7,3.15
Urban Traffic,1997,4,high_8,69.25
Urban Traffic,1998,7,high_8,32.857142857142854
Urban Traffic,1999,7,high_8,14
Urban Traffic,2000,7,high_8,21.571428571428573
Urban Traffic,2001,7,high_8,27.571428571428573
