Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Background,2009,32,mod_4,120.78125
Urban Background,2010,31,mod_4,102.19354838709677
Urban Background,2011,30,mod_4,189.4
Urban Background,2012,31,mod_4,136.1290322580645
Urban Background,2013,31,mod_4,100.51612903225806
Urban Background,2014,29,mod_4,97.13793103448276
Urban Background,2015,35,mod_4,67.57142857142857
Urban Background,2016,35,mod_4,56.542857142857144
Urban Background,2017,36,mod_4,57.02777777777778
Urban Background,2018,37,mod_4,31.324324324324323
Urban Background,2019,41,mod_4,86.70731707317073
Urban Background,2020,42,mod_4,24.142857142857142
Urban Background,2021,39,mod_4,17.256410256410255
Urban Background,2022,46,mod_4,39.58695652173913
Urban Background,2023,56,mod_4,12.232142857142858
Urban Background,2024,60,mod_4,5.85
Urban Background,2025,71,mod_4,27.112676056338028
Urban Background,2009,32,mod_5,66.28125
Urban Background,2010,31,mod_5,55.806451612903224
Urban Background,2011,30,mod_5,114.46666666666667
Urban Background,2012,31,mod_5,75.64516129032258
Urban Background,2013,31,mod_5,44.45161290322581
Urban Background,2014,29,mod_5,52.689655172413794
Urban Background,2015,35,mod_5,46.371428571428574
Urban Background,2016,35,mod_5,32.857142857142854
Urban Background,2017,36,mod_5,41.5
Urban Background,2018,37,mod_5,14.54054054054054
Urban Background,2019,41,mod_5,52.853658536585364
Urban Background,2020,42,mod_5,9.095238095238095
Urban Background,2021,39,mod_5,9.58974358974359
Urban Background,2022,46,mod_5,17.391304347826086
Urban Background,2023,56,mod_5,3.8392857142857144
Urban Background,2024,60,mod_5,1.1166666666666667
Urban Background,2025,71,mod_5,11.464788732394366
Urban Background,2009,32,mod_6,37.9375
Urban Background,2010,31,mod_6,27.838709677419356
Urban Background,2011,30,mod_6,67.86666666666666
Urban Background,2012,31,mod_6,49.03225806451613
Urban Background,2013,31,mod_6,32.67741935483871
Urban Background,2014,29,mod_6,31.586206896551722
Urban Background,2015,35,mod_6,31.685714285714287
Urban Background,2016,35,mod_6,16.514285714285716
Urban Background,2017,36,mod_6,26.833333333333332
Urban Background,2018,37,mod_6,8.18918918918919
Urban Background,2019,41,mod_6,24.26829268292683
Urban Background,2020,42,mod_6,5.261904761904762
Urban Background,2021,39,mod_6,4.461538461538462
Urban Background,2022,46,mod_6,7
Urban Background,2023,56,mod_6,1.4642857142857142
Urban Background,2024,60,mod_6,0.7
Urban Background,2025,71,mod_6,5.394366197183099
Urban Background,2009,32,high_7,18.0625
Urban Background,2010,31,high_7,9.774193548387096
Urban Background,2011,30,high_7,34.13333333333333
Urban Background,2012,31,high_7,28.870967741935484
Urban Background,2013,31,high_7,20.193548387096776
Urban Background,2014,29,high_7,18.96551724137931
Urban Background,2015,35,high_7,13.942857142857143
Urban Background,2016,35,high_7,9.685714285714285
Urban Background,2017,36,high_7,7.972222222222222
Urban Background,2018,37,high_7,5.378378378378378
Urban Background,2019,41,high_7,7.585365853658536
Urban Background,2020,42,high_7,3.380952380952381
Urban Background,2021,39,high_7,0.6153846153846154
Urban Background,2022,46,high_7,3.1956521739130435
Urban Background,2023,56,high_7,0.26785714285714285
Urban Background,2024,60,high_7,0.26666666666666666
Urban Background,2025,71,high_7,1.7464788732394365
Urban Background,2009,32,high_8,9.65625
Urban Background,2010,31,high_8,6.290322580645161
Urban Background,2011,30,high_8,28.266666666666666
Urban Background,2012,31,high_8,20.06451612903226
Urban Background,2013,31,high_8,13.903225806451612
Urban Background,2014,29,high_8,17.137931034482758
Urban Background,2015,35,high_8,6.914285714285715
Urban Background,2016,35,high_8,5.628571428571429
Urban Background,2017,36,high_8,3.9166666666666665
Urban Background,2018,37,high_8,4.918918918918919
Urban Background,2019,41,high_8,2.3658536585365852
Urban Background,2020,42,high_8,2.0476190476190474
Urban Background,2021,39,high_8,0.05128205128205128
Urban Background,2022,46,high_8,2.8043478260869565
Urban Background,2023,56,high_8,0.3392857142857143
Urban Background,2024,60,high_8,0.35
Urban Background,2025,71,high_8,1.0985915492957747
Urban Background,2009,32,high_9,5.25
Urban Background,2010,31,high_9,3.096774193548387
Urban Background,2011,30,high_9,15.1
Urban Background,2012,31,high_9,11.612903225806452
Urban Background,2013,31,high_9,6.774193548387097
Urban Background,2014,29,high_9,7.137931034482759
