Year,Annual mean concentration,Number of sites
2009,9,3
2009,10,1
2009,11,4
2009,12,5
2009,13,5
2009,14,8
2009,15,1
2009,16,1
2009,18,1
2010,9,4
2010,10,3
2010,11,3
2010,12,1
2010,13,5
2010,14,7
2010,15,4
2010,16,4
2010,17,4
2010,19,1
2011,10,2
2011,11,2
2011,12,5
2011,13,3
2011,14,6
2011,15,3
2011,16,10
2011,17,3
2011,19,2
2011,24,1
2012,9,1
2012,10,4
2012,11,8
2012,12,5
2012,13,8
2012,14,6
2012,15,4
2012,16,5
2012,17,2
2012,18,1
2012,21,1
2013,9,4
2013,10,4
2013,11,5
2013,12,8
2013,13,8
2013,14,6
2013,15,4
2013,16,3
2013,17,1
2013,18,1
2013,20,1
2014,8,2
2014,9,2
2014,10,2
2014,11,5
2014,12,8
2014,13,7
2014,14,7
2014,15,3
2014,16,1
2014,18,1
2015,7,5
2015,8,1
2015,9,6
2015,10,16
2015,11,11
2015,12,9
2015,13,1
2015,15,1
2015,16,1
2016,7,2
2016,8,3
2016,9,4
2016,10,14
2016,11,10
2016,12,11
2016,13,2
2016,15,1
2016,16,1
2017,7,6
2017,8,5
2017,9,11
2017,10,8
2017,11,13
2017,12,5
2017,14,1
2017,15,1
2017,16,1
2018,7,1
2018,8,3
2018,9,13
2018,10,14
2018,11,9
2018,12,6
2018,13,1
2018,14,1
2018,15,1
2018,16,1
2019,8,6
2019,9,14
2019,10,14
2019,11,13
2019,12,7
2019,13,1
2019,14,2
2019,15,1
2020,6,1
2020,7,11
2020,8,25
2020,9,11
2020,10,6
2020,11,2
2020,12,1
2021,6,1
2021,7,16
2021,8,17
2021,9,11
2021,10,2
2021,11,2
2021,12,2
2021,13,1
2022,7,6
2022,8,19
2022,9,18
2022,10,6
2022,11,4
2022,12,2
2023,4,1
2023,5,1
2023,6,9
2023,7,28
2023,8,24
2023,9,6
2023,10,4
2023,12,1
2024,5,2
2024,6,10
2024,7,36
2024,8,26
2024,9,3
2024,10,1
2024,11,1
2025,5,2
2025,6,2
2025,7,12
2025,8,51
2025,9,33
2025,10,11
2025,11,2
2025,12,1
