Year,Number of sites,Above or below AMCT
2009,25,Above AMCT
2009,4,Below AMCT
2010,29,Above AMCT
2010,7,Below AMCT
2011,35,Above AMCT
2011,2,Below AMCT
2012,40,Above AMCT
2012,5,Below AMCT
2013,37,Above AMCT
2013,8,Below AMCT
2014,32,Above AMCT
2014,6,Below AMCT
2015,23,Above AMCT
2015,28,Below AMCT
2016,25,Above AMCT
2016,23,Below AMCT
2017,21,Above AMCT
2017,30,Below AMCT
2018,19,Above AMCT
2018,31,Below AMCT
2019,24,Above AMCT
2019,34,Below AMCT
2020,3,Above AMCT
2020,54,Below AMCT
2021,5,Above AMCT
2021,47,Below AMCT
2022,6,Above AMCT
2022,49,Below AMCT
2023,1,Above AMCT
2023,73,Below AMCT
2024,1,Above AMCT
2024,78,Below AMCT
2025,3,Above AMCT
2025,111,Below AMCT
