Site type,Year,Number of sites,Mean daily maximum 8-hour mean concentration of ozone (µg/m3),95% confidence interval for 'All sites' (+/-)
Rural Background,1987,5,55.73371991235143,6.721002490821205
Rural Background,1988,12,65.64981284713238,4.65902653387367
Rural Background,1989,14,67.86464613521295,4.972930964969589
Rural Background,1990,15,69.71884823213246,4.508190548542759
Rural Background,1991,12,66.79427101223553,4.455004373714796
Rural Background,1992,14,67.86418589702889,5.035280423722847
Rural Background,1993,14,65.2150289228646,5.309471715891975
Rural Background,1994,14,69.38386975693969,3.869373646392453
Rural Background,1995,15,70.04185376649788,3.8515536229490577
Rural Background,1996,15,66.70551435778978,3.360383384928841
Rural Background,1997,15,65.87804203213999,3.29199642262426
Rural Background,1998,17,68.05100491237548,3.2336991226563074
Rural Background,1999,17,72.20683300007326,2.9416324706224106
Rural Background,2000,15,67.16857708416849,2.9013093750763357
Rural Background,2001,16,66.1410938993261,3.1114515389289243
Rural Background,2002,18,66.9549309592343,3.0611016788436833
Rural Background,2003,19,73.12097242723769,3.1412200328879867
Rural Background,2004,19,71.90554171437994,2.6970109386339254
Rural Background,2005,20,69.588804153727,3.1759322373194676
Rural Background,2006,21,73.86120991150125,3.1855086887093966
Rural Background,2007,20,67.68682327275715,2.3662398590827585
Rural Background,2008,20,69.82407500365316,2.776703723862977
Rural Background,2009,22,67.63642721084474,2.6621421884459795
Rural Background,2010,21,67.06291307565299,2.418050673340943
Rural Background,2011,22,67.96161795716633,2.260180049852892
Rural Background,2012,21,65.76109515169814,2.32610270925699
Rural Background,2013,21,68.98841077448948,2.2013906277631583
Rural Background,2014,22,69.45663650932876,2.374208315623227
Rural Background,2015,22,71.13813046621009,1.8808824677695288
Rural Background,2016,22,67.24241370059269,2.002794643634263
Rural Background,2017,20,69.16667565957387,2.2448084490838482
Rural Background,2018,20,72.44044154311204,1.817804972097863
Rural Background,2019,19,71.61775258002882,2.2067736993158857
Rural Background,2020,19,71.58003088796592,1.9856947353517242
Rural Background,2021,18,70.59296825698311,1.5463638262807797
Rural Background,2022,18,73.92458943672442,1.9375331006913032
Rural Background,2023,20,73.20816420795705,1.8784457732527013
Rural Background,2024,21,71.13795007613774,1.7301385617433527
Rural Background,2025,21,72.70528422828653,1.4830419482012298
Urban Background,1992,4,39.92073153186111,12.52571990134069
Urban Background,1993,8,40.17707731592502,4.829714791003981
Urban Background,1994,13,47.42963988152938,3.2600838859250008
Urban Background,1995,12,50.5996907238264,4.459544976586015
Urban Background,1996,18,45.922459636799985,2.793073474879589
Urban Background,1997,30,45.25629241426082,2.4757514010806214
Urban Background,1998,42,48.456824565275696,2.3213491194353
Urban Background,1999,42,55.61305353449901,2.4375771508036324
Urban Background,2000,41,52.18608936383844,2.420435618945331
Urban Background,2001,43,51.536866966890834,2.083010892465729
Urban Background,2002,45,52.65908147138606,2.2829955453092325
Urban Background,2003,47,59.103132515058185,2.3206780619675804
Urban Background,2004,50,56.54815638792319,2.3928681557670184
Urban Background,2005,49,56.16364593245997,2.260301709441219
Urban Background,2006,48,60.726034552426874,2.4454709621894204
Urban Background,2007,45,56.36195477401128,2.2165191441357046
Urban Background,2008,43,58.92250747377323,2.6531316526826663
Urban Background,2009,41,54.77306866944599,2.8244744349173
Urban Background,2010,42,51.94562046678308,2.450785606343261
Urban Background,2011,43,57.077091186144024,2.4990861959711266
Urban Background,2012,42,55.0522644349753,1.8915001835225072
Urban Background,2013,41,59.202672522206235,2.2641950610632104
Urban Background,2014,42,59.938680884294236,2.3473225330226133
Urban Background,2015,42,60.823662331035095,2.0175770866384934
Urban Background,2016,41,55.91776665244533,2.0810884774854084
Urban Background,2017,41,58.05640198795421,2.256589298750658
Urban Background,2018,42,62.773883348988505,2.0016209023227463
Urban Background,2019,39,61.194436474651745,2.1813792815470334
Urban Background,2020,39,64.41525642736592,1.8127461338441977
Urban Background,2021,38,62.53374028857073,1.6229696287287543
Urban Background,2022,40,65.016460114198,1.647930626215242
Urban Background,2023,51,66.90217949369939,1.191048603444766
Urban Background,2024,60,66.08042809974208,1.114788454341201
Urban Background,2025,61,68.31105399795554,0.999242784207421
