Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Rural Background,1987,6,mod_4,53.166666666666664
Rural Background,1988,12,mod_4,123.58333333333333
Rural Background,1989,14,mod_4,144.57142857142858
Rural Background,1990,15,mod_4,155.6
Rural Background,1991,13,mod_4,169.46153846153845
Rural Background,1992,14,mod_4,181
Rural Background,1993,15,mod_4,95.4
Rural Background,1994,14,mod_4,114.85714285714286
Rural Background,1995,15,mod_4,135.73333333333332
Rural Background,1996,15,mod_4,106.06666666666666
Rural Background,1997,16,mod_4,139.625
Rural Background,1998,17,mod_4,64.17647058823529
Rural Background,1999,17,mod_4,128.88235294117646
Rural Background,2000,16,mod_4,66.125
Rural Background,2001,16,mod_4,98.4375
Rural Background,2002,18,mod_4,75.11111111111111
Rural Background,2003,19,mod_4,208.52631578947367
Rural Background,2004,19,mod_4,116.10526315789474
Rural Background,2005,20,mod_4,108.7
Rural Background,2006,21,mod_4,221.14285714285714
Rural Background,2007,20,mod_4,103.85
Rural Background,2008,20,mod_4,194.6
Rural Background,2009,22,mod_4,87.22727272727273
Rural Background,2010,21,mod_4,58.142857142857146
Rural Background,2011,22,mod_4,101.72727272727273
Rural Background,2012,21,mod_4,69.0952380952381
Rural Background,2013,21,mod_4,100.52380952380952
Rural Background,2014,22,mod_4,47.81818181818182
Rural Background,2015,22,mod_4,52.68181818181818
Rural Background,2016,22,mod_4,70.27272727272727
Rural Background,2017,20,mod_4,39.85
Rural Background,2018,20,mod_4,167.3
Rural Background,2019,19,mod_4,111.3157894736842
Rural Background,2020,19,mod_4,107.36842105263158
Rural Background,2021,18,mod_4,62.111111111111114
Rural Background,2022,18,mod_4,115.72222222222223
Rural Background,2023,20,mod_4,104.25
Rural Background,2024,21,mod_4,56.095238095238095
Rural Background,2025,21,mod_4,118.38095238095238
Rural Background,1987,6,mod_5,27.333333333333332
Rural Background,1988,12,mod_5,35.5
Rural Background,1989,14,mod_5,71.35714285714286
Rural Background,1990,15,mod_5,84.4
Rural Background,1991,13,mod_5,59.69230769230769
Rural Background,1992,14,mod_5,93.14285714285714
Rural Background,1993,15,mod_5,30.466666666666665
Rural Background,1994,14,mod_5,36.92857142857143
Rural Background,1995,15,mod_5,79.33333333333333
Rural Background,1996,15,mod_5,53.06666666666667
Rural Background,1997,16,mod_5,43.5
Rural Background,1998,17,mod_5,15.235294117647058
Rural Background,1999,17,mod_5,48.94117647058823
Rural Background,2000,16,mod_5,15.625
Rural Background,2001,16,mod_5,33.4375
Rural Background,2002,18,mod_5,13.055555555555555
Rural Background,2003,19,mod_5,81.63157894736842
Rural Background,2004,19,mod_5,30.42105263157895
Rural Background,2005,20,mod_5,20.45
Rural Background,2006,21,mod_5,77.0952380952381
Rural Background,2007,20,mod_5,14.4
Rural Background,2008,20,mod_5,37.95
Rural Background,2009,22,mod_5,8.227272727272727
Rural Background,2010,21,mod_5,8
Rural Background,2011,22,mod_5,16.136363636363637
Rural Background,2012,21,mod_5,11.095238095238095
Rural Background,2013,21,mod_5,5.333333333333333
Rural Background,2014,22,mod_5,3.590909090909091
Rural Background,2015,22,mod_5,9.363636363636363
Rural Background,2016,22,mod_5,15.227272727272727
Rural Background,2017,20,mod_5,6
Rural Background,2018,20,mod_5,36.4
Rural Background,2019,19,mod_5,41.94736842105263
Rural Background,2020,19,mod_5,39.94736842105263
Rural Background,2021,18,mod_5,11.166666666666666
Rural Background,2022,18,mod_5,41.388888888888886
Rural Background,2023,20,mod_5,35.85
Rural Background,2024,21,mod_5,6.714285714285714
Rural Background,2025,21,mod_5,31
Rural Background,1987,6,mod_6,22.666666666666668
