Site type,Year,Number of sites,Daily Air Quality Index,Mean number of hours per site
Urban Background,1992,4,mod_4,12
Urban Background,1993,8,mod_4,10.5
Urban Background,1994,13,mod_4,21.384615384615383
Urban Background,1995,12,mod_4,53.75
Urban Background,1996,18,mod_4,38.5
Urban Background,1997,31,mod_4,35.12903225806452
Urban Background,1998,42,mod_4,19.80952380952381
Urban Background,1999,42,mod_4,61.476190476190474
Urban Background,2000,41,mod_4,29.48780487804878
Urban Background,2001,43,mod_4,40.13953488372093
Urban Background,2002,45,mod_4,27.733333333333334
Urban Background,2003,47,mod_4,104.57446808510639
Urban Background,2004,50,mod_4,44.68
Urban Background,2005,49,mod_4,38.142857142857146
Urban Background,2006,48,mod_4,102.77083333333333
Urban Background,2007,45,mod_4,48.266666666666666
Urban Background,2008,43,mod_4,96.11627906976744
Urban Background,2009,41,mod_4,34.31707317073171
Urban Background,2010,42,mod_4,19.5
Urban Background,2011,43,mod_4,49.116279069767444
Urban Background,2012,42,mod_4,35.19047619047619
Urban Background,2013,41,mod_4,40.46341463414634
Urban Background,2014,42,mod_4,32.785714285714285
Urban Background,2015,42,mod_4,22.642857142857142
Urban Background,2016,41,mod_4,39.34146341463415
Urban Background,2017,41,mod_4,21.024390243902438
Urban Background,2018,42,mod_4,93.38095238095238
Urban Background,2019,39,mod_4,48.15384615384615
Urban Background,2020,39,mod_4,93.74358974358974
Urban Background,2021,38,mod_4,33.81578947368421
Urban Background,2022,40,mod_4,74.1
Urban Background,2023,51,mod_4,77.94117647058823
Urban Background,2024,60,mod_4,49.11666666666667
Urban Background,2025,61,mod_4,99.0327868852459
Urban Background,1992,4,mod_5,1
Urban Background,1993,8,mod_5,3.625
Urban Background,1994,13,mod_5,7.923076923076923
Urban Background,1995,12,mod_5,31.166666666666668
Urban Background,1996,18,mod_5,19.61111111111111
Urban Background,1997,31,mod_5,10.548387096774194
Urban Background,1998,42,mod_5,2.7142857142857144
Urban Background,1999,42,mod_5,21.38095238095238
Urban Background,2000,41,mod_5,7.536585365853658
Urban Background,2001,43,mod_5,14.813953488372093
Urban Background,2002,45,mod_5,4.933333333333334
Urban Background,2003,47,mod_5,42.87234042553192
Urban Background,2004,50,mod_5,13.42
Urban Background,2005,49,mod_5,10
Urban Background,2006,48,mod_5,50.083333333333336
Urban Background,2007,45,mod_5,6.488888888888889
Urban Background,2008,43,mod_5,22.953488372093023
Urban Background,2009,41,mod_5,3.8292682926829267
Urban Background,2010,42,mod_5,3.9047619047619047
Urban Background,2011,43,mod_5,8.093023255813954
Urban Background,2012,42,mod_5,8.428571428571429
Urban Background,2013,41,mod_5,5.804878048780488
Urban Background,2014,42,mod_5,2.5714285714285716
Urban Background,2015,42,mod_5,5
Urban Background,2016,41,mod_5,7.146341463414634
Urban Background,2017,41,mod_5,5.048780487804878
Urban Background,2018,42,mod_5,20.88095238095238
Urban Background,2019,39,mod_5,22.871794871794872
Urban Background,2020,39,mod_5,27.487179487179485
Urban Background,2021,38,mod_5,6.2368421052631575
Urban Background,2022,40,mod_5,27.725
