Geography,Date Interval,Date,Units,BodyType,Measure,Reported Source,Petrol,Diesel,Hybrid Electric,Plug-in Hybrid Electric,Total
England,Annual,2003,Grams per kilometre,Cars,Reported,NEDC figure,176.4,164.6,[u],[u],173.2
England,Annual,2004,Grams per kilometre,Cars,Reported,NEDC figure,175.7,164.2,[u],[u],171.9
England,Annual,2005,Grams per kilometre,Cars,Reported,NEDC figure,173.3,165.4,[u],[u],170.2
England,Annual,2006,Grams per kilometre,Cars,Reported,NEDC figure,169.7,166.4,[u],[u],168.2
England,Annual,2007,Grams per kilometre,Cars,Reported,NEDC figure,166.4,164,[u],[u],165.1
England,Annual,2008,Grams per kilometre,Cars,Reported,NEDC figure,160,157.3,[u],[u],158.6
England,Annual,2009,Grams per kilometre,Cars,Reported,NEDC figure,149.3,151.8,[u],[u],150
England,Annual,2010,Grams per kilometre,Cars,Reported,NEDC figure,145.3,144.6,105.9,[u],144.5
England,Annual,2011,Grams per kilometre,Cars,Reported,NEDC figure,140.1,137.6,103,[u],138.3
England,Annual,2012,Grams per kilometre,Cars,Reported,NEDC figure,134.1,133.1,100.6,[u],133
England,Annual,2013,Grams per kilometre,Cars,Reported,NEDC figure,129.3,129.1,97.4,[u],128.5
England,Annual,2014,Grams per kilometre,Cars,Reported,NEDC figure,126.9,125.1,95.2,[u],124.9
England,Annual,2015,Grams per kilometre,Cars,Reported,NEDC figure,124.6,121.6,93.9,45.6,121.5
England,Annual,2016,Grams per kilometre,Cars,Reported,NEDC figure,124,120.5,94.4,47.3,120.3
England,Annual,2017,Grams per kilometre,Cars,Reported,NEDC figure,125.5,122.5,92.2,46.1,121.4
England,Annual,2018,Grams per kilometre,Cars,Reported,Mix of NEDC figure and e-NEDC calculation,128.6,129.5,94.8,46.7,125
England,Annual,2019,Grams per kilometre,Cars,Reported,e-NEDC calculation,132.5,135.2,96.8,48,127.9
England,Annual,2020,Grams per kilometre,Cars,Reported,Mix of e-NEDC calculation and WLTP figure,141.3,153.9,119.7,41.4,127.6
England,Annual,2021,Grams per kilometre,Cars,Reported,WLTP figure,144.6,161.3,127,39.1,118.8
England,Annual,2022,Grams per kilometre,Cars,Reported,WLTP figure,144.3,164.5,126.8,35.3,110.3
England,Annual,2023,Grams per kilometre,Cars,Reported,WLTP figure,143.6,171.1,126.5,31.5,107.6
England,Annual,2024,Grams per kilometre,Cars,Reported,WLTP figure,143.5,173.8,127.3,28.4,100.5
England,Annual,2025,Grams per kilometre,Cars,Reported,WLTP figure,142.6,179.4,126.3,22.8,89.9
England,Quarterly,2003 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,176.4,164.8,[u],[u],173.4
England,Quarterly,2003 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,176.7,163.6,[u],[u],173.3
England,Quarterly,2003 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,175.7,165.6,[u],[u],173
England,Quarterly,2003 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,176.8,164.3,[u],[u],172.9
England,Quarterly,2004 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,175.5,165.1,[u],[u],172.3
England,Quarterly,2004 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,177.3,164.7,[u],[u],173.2
England,Quarterly,2004 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,174.6,163.1,[u],[u],170.7
England,Quarterly,2004 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,175.4,163.9,[u],[u],171.2
England,Quarterly,2005 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,173.3,164.5,[u],[u],170.2
England,Quarterly,2005 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,174.7,164.9,[u],[u],171
England,Quarterly,2005 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,171.7,165.9,[u],[u],169.4
England,Quarterly,2005 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,174.1,166.1,[u],[u],170.5
England,Quarterly,2006 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,170.4,166.8,[u],[u],168.9
England,Quarterly,2006 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,170.5,165.9,[u],[u],168.6
England,Quarterly,2006 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,167.8,166.4,[u],[u],167.1
England,Quarterly,2006 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,170.1,166.5,[u],[u],168.4
England,Quarterly,2007 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,167.1,165,[u],[u],166
England,Quarterly,2007 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,168.1,164.1,[u],[u],166.1
England,Quarterly,2007 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,164.8,164.7,[u],[u],164.5
England,Quarterly,2007 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,165.5,162,[u],[u],163.6
England,Quarterly,2008 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,161.6,161.1,[u],[u],161.1
England,Quarterly,2008 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,161.7,157.8,[u],[u],159.7
England,Quarterly,2008 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,158,154.9,[u],[u],156.3
England,Quarterly,2008 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,157.2,153.4,[u],[u],155.2
England,Quarterly,2009 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,152.8,155.5,[u],[u],153.9
England,Quarterly,2009 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,151.6,152.5,[u],[u],151.9
England,Quarterly,2009 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,146.9,150.1,[u],[u],147.7
England,Quarterly,2009 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,146.9,149.1,[u],[u],147.5
England,Quarterly,2010 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,144.8,148.2,103.9,[u],145.8
England,Quarterly,2010 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,146.7,144.6,106.5,[u],145.3
England,Quarterly,2010 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,144.2,143.6,107,[u],143.4
England,Quarterly,2010 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,145.9,141.7,106.2,[u],143.1
England,Quarterly,2011 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,141.6,140.5,102.8,[u],140.4
England,Quarterly,2011 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,141.4,137.8,102.9,[u],139
England,Quarterly,2011 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,138.1,136.3,103.5,[u],136.7
England,Quarterly,2011 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,138.9,135.5,102.6,[u],136.4
England,Quarterly,2012 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,136,134.8,102.3,[u],134.8
England,Quarterly,2012 Q2 (April to June),Grams per kilometre,Cars,Reported,NEDC figure,134.9,133,102.1,[u],133.3
England,Quarterly,2012 Q3 (July to September),Grams per kilometre,Cars,Reported,NEDC figure,132.6,132.7,98.5,[u],132
England,Quarterly,2012 Q4 (October to December),Grams per kilometre,Cars,Reported,NEDC figure,133,131.6,99.2,[u],131.6
England,Quarterly,2013 Q1 (January to March),Grams per kilometre,Cars,Reported,NEDC figure,129,131.9,97.5,[u],129.8
