Geography,Date,Units,0 g/km,1 to 50 g/km,51 to 75 g/km,76 to 90 g/km,91 to 100 g/km,101 to 110 g/km,111 to 130 g/km,131 to 150 g/km,151 to 170 g/km,171 to 190 g/km,191 to 225 g/km,226 to 255 g/km,Over 255 g/km,Unknown,Total,Average reported emissions (g/km)
England,2007 Q4 (end December),Thousands,1.2,[low],[low],0.3,[low],109.7,703.7,"3,477.9","3,712.3","2,348.8","1,727.6",673.3,548.2,"10,472.8","23,775.8",171.6
England,2008 Q4 (end December),Thousands,1.3,[low],[low],0.3,2.8,170.4,913.2,"4,006.0","4,118.4","2,588.4","1,858.5",691.2,584.8,"9,061.3","23,996.6",170.0
England,2009 Q4 (end December),Thousands,1.4,[low],[low],3.4,15.2,262.1,"1,242.2","4,479.0","4,408.4","2,730.4","1,930.8",704.5,600.2,"7,660.8","24,038.4",168.0
England,2010 Q4 (end December),Thousands,1.5,[low],[low],8.0,41.8,377.8,"1,693.3","4,879.9","4,616.8","2,804.2","1,951.1",706.2,597.7,"6,419.7","24,098.0",165.6
England,2011 Q4 (end December),Thousands,2.4,[low],[low],11.4,99.3,538.9,"2,159.1","5,237.7","4,755.0","2,830.3","1,941.9",707.7,586.1,"5,298.1","24,167.8",163.2
England,2012 Q4 (end December),Thousands,3.5,0.9,[low],25.0,227.7,706.8,"2,709.0","5,544.4","4,795.0","2,815.3","1,917.0",703.4,572.1,"4,322.7","24,342.8",160.5
England,2013 Q4 (end December),Thousands,5.4,1.8,0.1,50.3,465.4,920.6,"3,309.2","5,789.6","4,792.5","2,759.0","1,866.0",690.0,557.4,"3,474.7","24,682.0",157.5
England,2014 Q4 (end December),Thousands,10.7,8.6,1.8,92.5,738.6,"1,206.5","3,908.1","5,921.8","4,728.4","2,657.6","1,814.7",667.8,543.1,"2,791.0","25,091.2",154.4
England,2015 Q4 (end December),Thousands,18.1,23.6,7.3,143.5,"1,041.0","1,611.9","4,478.3","5,989.1","4,601.9","2,537.1","1,733.9",637.6,526.3,"2,257.8","25,607.5",151.1
England,2016 Q4 (end December),Thousands,25.4,46.2,16.7,191.9,"1,306.4","2,065.7","5,149.1","6,056.1","4,430.0","2,406.3","1,648.8",601.8,509.4,"1,829.5","26,283.3",147.8
England,2017 Q4 (end December),Thousands,36.2,72.5,28.0,234.3,"1,486.6","2,444.8","5,765.5","6,026.7","4,185.8","2,244.6","1,532.1",555.1,485.6,"1,477.4","26,575.3",144.9
England,2018 Q4 (end December),Thousands,48.7,100.2,39.3,273.0,"1,603.6","2,695.5","6,340.0","6,001.0","3,997.6","2,102.8","1,423.9",508.8,460.5,"1,244.4","26,839.2",142.6
England,2019 Q4 (end December),Thousands,79.5,117.2,49.6,319.7,"1,658.7","2,882.0","6,889.6","6,010.0","3,867.2","1,963.7","1,331.7",466.6,435.1,"1,075.5","27,146.1",140.6
England,2020 Q4 (end December),Thousands,172.1,160.8,54.4,328.9,"1,680.9","2,899.9","7,045.6","5,998.1","3,737.7","1,873.4","1,274.8",445.6,414.1,949.9,"27,036.1",139.1
England,2021 Q4 (end December),Thousands,338.0,243.5,64.5,332.7,"1,698.0","2,927.8","7,267.0","5,980.3","3,586.2","1,774.9","1,210.8",428.2,400.3,872.1,"27,124.3",137.0
