Geography,Date Interval,Date,Units,0 grams per kilometre,1 to 50 grams per kilometre,51 to 75 grams per kilometre,76 to 90 grams per kilometre,91 to 100 grams per kilometre,101 to 110 grams per kilometre,111 to 130 grams per kilometre,131 to 150 grams per kilometre,151 to 170 grams per kilometre,171 to 190 grams per kilometre,191 to 225 grams per kilometre,226 to 255 grams per kilometre,Over 255 grams per kilometre,Unknown,Total,Average reported emissions
England,Annual,2001,Thousands,0.1,[low],[low],0.2,[low],[low],30.8,369.4,463.6,334.3,255.9,126,87.1,615.2,"2,282.50",179.4
England,Annual,2002,Thousands,0.1,[low],[low],0.1,[low],3.9,62.2,533.3,614.5,421.4,310.8,148.7,88.2,176.6,"2,359.60",175.6
England,Annual,2003,Thousands,[low],[low],0,[low],[low],5.3,95.5,632.6,590.5,389.6,313,126.3,95.1,76.7,"2,324.70",173.2
England,Annual,2004,Thousands,0.1,[low],0,[low],[low],7,132.3,606.4,596.4,363.8,288.3,115.1,99.5,68.5,"2,277.50",171.9
England,Annual,2005,Thousands,0.2,[low],[low],[low],[low],14,139,540.9,606,347.4,266.5,95.4,82.1,52.5,"2,144.20",170.2
England,Annual,2006,Thousands,0.3,[low],0,[low],0,36.7,151.1,515.8,590.3,315.9,243.6,76.4,81.2,40.9,"2,052.20",168.2
England,Annual,2007,Thousands,0.4,[low],[low],[low],[low],48.3,167.3,576.4,585.6,334.5,217.1,55.6,75.8,34.8,"2,095.80",165.1
England,Annual,2008,Thousands,0.2,[low],[low],[low],3,63.1,230.3,583.8,454.1,265.7,154.7,28.9,48.5,25.7,"1,857.90",158.6
England,Annual,2009,Thousands,0.2,0,[low],3.1,12.6,95.9,353.6,539.6,355.1,177,96.9,23.7,28.5,17.4,"1,703.50",150
England,Annual,2010,Thousands,0.2,[low],[low],4.7,28.1,122.9,497.5,502.6,306,142,78.2,26.5,19.2,15.7,"1,743.60",144.5
England,Annual,2011,Thousands,1.1,[low],[low],3.8,61.2,178,532.6,467.9,233.3,95.2,49.5,25,10.7,13.4,"1,671.80",138.3
England,Annual,2012,Thousands,1.5,0.9,0,14.5,137.2,194,635.3,449,163.3,74.4,41.3,22.6,8.9,12.9,"1,755.80",133
England,Annual,2013,Thousands,2.4,1,0.1,26.7,255.3,237.3,686.8,420.5,166.3,63.6,34.2,17.8,9,14.3,"1,935.20",128.5
England,Annual,2014,Thousands,5.8,7.2,1.7,46.1,314.1,331.1,732.4,384.9,172.4,49.3,43.5,10.5,8.7,15.8,"2,123.50",124.9
England,Annual,2015,Thousands,8.7,18.1,5.9,57.3,354.9,464,716.2,370.2,161.6,60.1,31.7,8.1,7.5,21.5,"2,285.90",121.4
England,Annual,2016,Thousands,9.2,24,9.8,56.4,313.5,513.5,804.2,364.4,127.5,59.1,31.2,5.3,9.7,22,"2,349.70",120.3
England,Annual,2017,Thousands,12.4,29.5,12.5,50.8,229.3,458.3,810,365.9,129.9,63.9,25.8,4.3,9.7,19.1,"2,221.40",121.4
England,Annual,2018,Thousands,14.2,32.5,12.7,46.6,154.8,325.8,780.4,372.5,183.2,77.5,35.6,6.1,10.8,20.4,"2,073.20",125
England,Annual,2019,Thousands,34.2,21.4,12.4,54.3,78.2,251.8,765.8,410.9,244.4,74.5,48.1,9.4,11.3,20.9,"2,037.40",127.9
England,Annual,2020,Thousands,97.1,50.9,7.9,18.5,52.4,87.3,373.2,345.8,194.3,86.1,61,23.4,14.1,19.5,"1,431.40",127.6
England,Annual,2021,Thousands,173.7,89.8,10.7,3.8,22.6,49.2,376.1,341.7,176.4,80.5,51.6,24.2,15.6,27.8,"1,443.80",118.8
England,Annual,2022,Thousands,242.7,82.6,5.3,3.2,25.9,63.3,350.3,320.9,146.5,55.4,42.5,24.9,14.6,34.2,"1,412.40",110.3
England,Annual,2023,Thousands,286.6,123,4.1,1.2,34.1,81.9,419,369.1,155.7,61.7,51.8,25,16,38.2,"1,667.40",107.6
England,Annual,2024,Thousands,347.3,147.8,2.5,0.5,42.9,109,369.2,369.3,138.3,63.4,49.4,18.7,11.9,41.9,"1,712.10",100.5
England,Annual,2025,Thousands,430.4,195.6,4.5,0.8,46.9,120.6,395.6,314.3,112.5,48.2,43.8,17.4,10.4,44.7,"1,785.60",89.9
England,Quarterly,2001 Q2 (April to June),Thousands,[low],[low],0,0.1,[low],[low],7.7,101.7,120.1,91.6,73,32.7,24.1,95.9,546.8,179.7
