Geography,Date,Units,BodyType,Private male,Private female,Private unknown,Company,Between keepers,Total
England,1994 Q4 (end December),Thousands,Buses and coaches,27.9,3.5,1.3,92.7,[low],125.4
England,1995 Q4 (end December),Thousands,Buses and coaches,27.4,3.6,1.2,93.6,[low],125.8
England,1996 Q4 (end December),Thousands,Buses and coaches,28.5,3.8,1.3,95.8,0,129.4
England,1997 Q4 (end December),Thousands,Buses and coaches,28.9,4.1,1.4,97.5,0,132
England,1998 Q4 (end December),Thousands,Buses and coaches,28.5,4.2,1.4,99.4,0,133.6
England,1999 Q4 (end December),Thousands,Buses and coaches,28.7,4.3,1.6,104.5,0,139.1
England,2000 Q4 (end December),Thousands,Buses and coaches,28.2,4.2,1.7,109.6,0,143.6
England,2001 Q4 (end December),Thousands,Buses and coaches,27.6,4.1,1.7,109.3,0,142.5
England,2002 Q4 (end December),Thousands,Buses and coaches,27,3.9,1.7,111.2,0,143.9
England,2003 Q4 (end December),Thousands,Buses and coaches,26.7,3.8,1.9,112.6,0,145
England,2004 Q4 (end December),Thousands,Buses and coaches,27,3.8,1.9,113.6,0,146.3
England,2005 Q4 (end December),Thousands,Buses and coaches,26.8,3.7,1.9,115,0,147.4
England,2006 Q4 (end December),Thousands,Buses and coaches,26.4,3.7,1.9,114.1,0,146.2
England,2007 Q4 (end December),Thousands,Buses and coaches,26.1,3.7,1.8,114.4,0,146
England,2008 Q4 (end December),Thousands,Buses and coaches,25.2,3.6,1.7,114.7,0,145.3
England,2009 Q4 (end December),Thousands,Buses and coaches,24.9,3.7,1.7,114,0,144.3
England,2010 Q4 (end December),Thousands,Buses and coaches,23.9,3.6,1.8,112.8,0,142.1
England,2011 Q4 (end December),Thousands,Buses and coaches,22.8,3.5,1.8,111.2,0,139.4
England,2012 Q4 (end December),Thousands,Buses and coaches,22,3.4,1.7,111.4,0,138.6
England,2013 Q4 (end December),Thousands,Buses and coaches,21.6,3.3,1.7,110.6,0,137.2
England,2014 Q4 (end December),Thousands,Buses and coaches,21.2,3.3,1.6,109.8,0,135.9
England,2015 Q4 (end December),Thousands,Buses and coaches,21,3.4,1.6,109.6,0,135.6
England,2016 Q4 (end December),Thousands,Buses and coaches,21,3.4,1.6,109.7,0,135.8
England,2017 Q4 (end December),Thousands,Buses and coaches,20.5,3.3,1.6,107.6,0,132.9
England,2018 Q4 (end December),Thousands,Buses and coaches,19.7,3.3,1.5,105.2,0,129.7
England,2019 Q4 (end December),Thousands,Buses and coaches,19.2,3.2,1.4,103.4,0,127.2
England,2020 Q4 (end December),Thousands,Buses and coaches,18.1,3.2,1.2,92.3,0,114.8
England,2021 Q4 (end December),Thousands,Buses and coaches,19.1,3.4,1.1,93.8,0,117.4
England,2022 Q4 (end December),Thousands,Buses and coaches,18.6,3.2,1,92.4,0,115.3
England,2023 Q4 (end December),Thousands,Buses and coaches,17.6,3.1,0.9,92.4,0,114
England,2024 Q4 (end December),Thousands,Buses and coaches,16.7,2.9,0.9,94.9,0,115.4
England,2025 Q4 (end December),Thousands,Buses and coaches,16.2,2.8,0.8,96.1,0,115.9
England,1994 Q4 (end December),Thousands,Cars,"10,532.10","5,088.20",417.1,"1,972.30",[low],"18,009.70"
England,1995 Q4 (end December),Thousands,Cars,"10,522.40","5,238.90",444.6,"2,006.20",[low],"18,212.10"
England,1996 Q4 (end December),Thousands,Cars,"10,853.00","5,570.40",490.8,"2,050.30",[low],"18,964.60"
England,1997 Q4 (end December),Thousands,Cars,"11,039.60","5,821.90",527.1,"2,153.80",[low],"19,542.50"
England,1998 Q4 (end December),Thousands,Cars,"11,216.80","6,036.00",571,"2,177.40",[low],"20,001.20"
England,1999 Q4 (end December),Thousands,Cars,"11,445.00","6,261.30",626.5,"2,139.50",0,"20,472.40"
England,2000 Q4 (end December),Thousands,Cars,"11,587.00","6,468.10",672.8,"2,286.90",0,"21,014.80"
England,2001 Q4 (end December),Thousands,Cars,"11,856.40","6,736.00",736,"2,212.80",0,"21,541.20"
England,2002 Q4 (end December),Thousands,Cars,"12,133.20","7,007.60",807.1,"2,104.80",0,"22,052.70"
England,2003 Q4 (end December),Thousands,Cars,"12,276.30","7,189.00",904.6,"2,012.90",0,"22,382.80"
England,2004 Q4 (end December),Thousands,Cars,"12,487.20","7,394.30",969.9,"2,072.50",0,"22,923.80"
England,2005 Q4 (end December),Thousands,Cars,"12,614.40","7,617.30","1,013.20","2,182.90",0,"23,427.80"
England,2006 Q4 (end December),Thousands,Cars,"12,538.40","7,756.60","1,036.90","2,132.90",0,"23,464.70"
England,2007 Q4 (end December),Thousands,Cars,"12,618.00","7,931.50","1,054.30","2,172.00",0,"23,775.80"
England,2008 Q4 (end December),Thousands,Cars,"12,666.80","8,089.70","1,055.60","2,184.40",0,"23,996.60"
England,2009 Q4 (end December),Thousands,Cars,"12,667.40","8,219.00","1,064.80","2,087.20",0,"24,038.40"
England,2010 Q4 (end December),Thousands,Cars,"12,613.80","8,330.00","1,096.20","2,058.00",0,"24,098.00"
England,2011 Q4 (end December),Thousands,Cars,"12,555.70","8,409.30","1,119.50","2,083.40",0,"24,167.80"
England,2012 Q4 (end December),Thousands,Cars,"12,580.50","8,515.60","1,133.80","2,113.00",0,"24,342.80"
England,2013 Q4 (end December),Thousands,Cars,"12,717.30","8,632.20","1,153.10","2,179.50",0,"24,682.00"
England,2014 Q4 (end December),Thousands,Cars,"12,878.50","8,767.10","1,181.10","2,264.40",0,"25,091.20"
England,2015 Q4 (end December),Thousands,Cars,"13,090.10","8,927.90","1,222.10","2,367.40",0,"25,607.50"
England,2016 Q4 (end December),Thousands,Cars,"13,374.70","9,151.80","1,256.00","2,500.80",0,"26,283.30"
