Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
England,1994 Q4 (end December),Thousands,Buses and coaches,7.8,6.7,6.7,7,9.2,10.7,32.5,16,25.7,3.1,125.4,8.7
England,1995 Q4 (end December),Thousands,Buses and coaches,9.8,8,6.6,6.7,6.8,9,34.4,16.2,25.1,3.3,125.8,8.7
England,1996 Q4 (end December),Thousands,Buses and coaches,10,9.6,7.9,6.5,6.5,6.5,35.2,16.8,26.8,3.6,129.4,8.8
England,1997 Q4 (end December),Thousands,Buses and coaches,10.3,9.8,9.6,7.9,6.5,6.4,32.9,17.4,27.5,3.8,132,8.8
England,1998 Q4 (end December),Thousands,Buses and coaches,11.3,10.1,10,9.7,7.8,6.3,29.2,18.3,27.1,3.9,133.6,8.7
England,1999 Q4 (end December),Thousands,Buses and coaches,11.2,11,10.1,10.2,9.9,7.9,26.2,20.8,27.7,4.2,139.1,8.6
England,2000 Q4 (end December),Thousands,Buses and coaches,10.8,11,11.1,10.4,10.4,10,26,21.6,27.9,4.4,143.6,8.6
England,2001 Q4 (end December),Thousands,Buses and coaches,8.7,10.4,10.7,11.2,10.4,10.1,29.2,19.1,28.4,4.4,142.5,8.7
England,2002 Q4 (end December),Thousands,Buses and coaches,10.5,8.6,10.2,10.9,11.2,10.2,32.5,15.8,29.8,4.4,143.9,8.7
England,2003 Q4 (end December),Thousands,Buses and coaches,11.2,10.2,8.3,10.1,10.9,10.9,35.4,14,29.5,4.4,145,8.6
England,2004 Q4 (end December),Thousands,Buses and coaches,10.9,11.1,9.9,8.5,10.2,10.6,37.8,15.2,27.4,4.6,146.3,8.5
England,2005 Q4 (end December),Thousands,Buses and coaches,10.4,10.6,10.8,10,8.6,10,38.7,17.7,26.1,4.5,147.4,8.6
England,2006 Q4 (end December),Thousands,Buses and coaches,9.8,10.1,10.5,10.9,10,8.4,38.5,19.3,24.4,4.3,146.2,8.6
England,2007 Q4 (end December),Thousands,Buses and coaches,9.7,9.6,9.8,10.2,10.7,9.8,36.7,21,24.5,4,146,8.7
England,2008 Q4 (end December),Thousands,Buses and coaches,9.7,9.3,9.5,9.8,10.3,10.5,35.7,21.6,24.9,3.8,145.3,8.8
England,2009 Q4 (end December),Thousands,Buses and coaches,8,9.7,9.5,9.6,9.8,10.2,35.8,22.3,25.8,3.7,144.3,8.9
England,2010 Q4 (end December),Thousands,Buses and coaches,7,7.8,9.5,9.2,9.4,9.6,36.4,22,26.9,4.4,142.1,9.2
England,2011 Q4 (end December),Thousands,Buses and coaches,7.1,7.2,7.7,9.3,9.2,9.3,37.3,19.8,28.3,4.2,139.4,9.4
England,2012 Q4 (end December),Thousands,Buses and coaches,8.2,7.1,7,7.6,9.2,9.1,37.3,20.2,28.8,3.9,138.6,9.5
England,2013 Q4 (end December),Thousands,Buses and coaches,7.3,8.1,7.1,6.9,7.5,9.1,36.2,21.8,29.3,3.8,137.2,9.7
England,2014 Q4 (end December),Thousands,Buses and coaches,6.8,7.2,8,6.9,6.9,7.4,35.7,23.4,29.9,3.8,135.9,9.9
England,2015 Q4 (end December),Thousands,Buses and coaches,7.6,6.7,7.1,7.8,6.9,6.7,33.6,23.3,31.9,4,135.6,10.1
England,2016 Q4 (end December),Thousands,Buses and coaches,8.2,7.5,6.7,7,7.7,6.7,31.1,23.1,33.9,4.1,135.8,10.2
England,2017 Q4 (end December),Thousands,Buses and coaches,7.1,8,7.3,6.5,6.8,7.3,28.5,22.6,34.8,4,132.9,10.4
England,2018 Q4 (end December),Thousands,Buses and coaches,6.6,6.9,7.8,7.2,6.3,6.5,26.5,22.3,35.8,3.8,129.7,10.7
England,2019 Q4 (end December),Thousands,Buses and coaches,5.8,6.5,6.8,7.7,7.1,6.1,25.6,20.9,37,3.7,127.2,10.9
England,2020 Q4 (end December),Thousands,Buses and coaches,4.1,5.3,6,6.2,6.9,6.1,23.4,18,35.4,3.4,114.8,11.2
England,2021 Q4 (end December),Thousands,Buses and coaches,3.3,4,5.6,6.4,6.6,7.3,24.8,16.8,39.1,3.4,117.4,11.7
England,2022 Q4 (end December),Thousands,Buses and coaches,3.3,3.3,4,5.6,6.4,6.5,25.6,16.8,40.5,3.3,115.3,12.1
England,2023 Q4 (end December),Thousands,Buses and coaches,4.7,3.2,3.3,4,5.6,6.2,26,16.9,40.9,3.2,114,12.4
England,2024 Q4 (end December),Thousands,Buses and coaches,8.2,5,3.2,3.2,3.9,5.4,25.6,16.8,41,3.2,115.4,12.2
England,2025 Q4 (end December),Thousands,Buses and coaches,8.2,8,4.8,3.1,3.1,3.7,24.1,16.7,41,3,115.9,12
England,1994 Q4 (end December),Thousands,Cars,"1,474.70","1,386.30","1,216.00","1,183.50","1,490.80","1,708.40","5,539.30","2,477.20","1,158.90",374.7,"18,009.70",6.7
England,1995 Q4 (end December),Thousands,Cars,"1,493.80","1,482.10","1,360.40","1,176.90","1,186.10","1,472.60","5,742.80","2,639.40","1,281.40",376.8,"18,212.10",6.8
England,1996 Q4 (end December),Thousands,Cars,"1,573.40","1,484.50","1,458.90","1,321.10","1,182.70","1,175.30","5,945.60","2,811.50","1,616.20",395.3,"18,964.60",7.1
England,1997 Q4 (end December),Thousands,Cars,"1,690.20","1,557.90","1,480.50","1,423.90","1,326.40","1,173.70","5,641.60","3,014.10","1,824.90",409.3,"19,542.50",7.1
England,1998 Q4 (end December),Thousands,Cars,"1,762.80","1,679.20","1,555.00","1,459.60","1,434.80","1,320.10","5,193.10","3,206.30","1,946.60",443.8,"20,001.20",7.1
England,1999 Q4 (end December),Thousands,Cars,"1,761.70","1,759.50","1,683.50","1,537.40","1,474.00","1,431.40","4,872.20","3,443.70","2,025.50",483.4,"20,472.40",7.1
England,2000 Q4 (end December),Thousands,Cars,"1,870.60","1,777.20","1,781.20","1,666.90","1,556.00","1,468.40","4,859.60","3,421.00","2,107.20",506.9,"21,014.80",7
England,2001 Q4 (end December),Thousands,Cars,"2,067.30","1,849.40","1,760.90","1,723.20","1,667.70","1,542.40","5,139.90","3,042.10","2,227.40",521,"21,541.20",6.9
England,2002 Q4 (end December),Thousands,Cars,"2,137.70","2,052.80","1,825.40","1,716.40","1,730.20","1,652.30","5,448.80","2,648.10","2,311.70",529.4,"22,052.70",6.8
England,2003 Q4 (end December),Thousands,Cars,"2,068.20","2,117.90","2,005.60","1,759.00","1,709.40","1,704.10","5,694.90","2,538.40","2,232.60",552.7,"22,382.80",6.7
England,2004 Q4 (end December),Thousands,Cars,"2,015.20","2,067.50","2,091.50","1,975.30","1,783.60","1,700.50","5,966.10","2,685.90","2,063.20",575,"22,923.80",6.7
England,2005 Q4 (end December),Thousands,Cars,"1,924.40","2,027.50","2,059.80","2,059.60","1,995.20","1,779.40","6,194.50","2,847.70","1,958.10",581.6,"23,427.80",6.7
England,2006 Q4 (end December),Thousands,Cars,"1,806.80","1,903.40","1,998.80","2,004.10","2,058.00","1,973.20","6,358.50","2,886.30","1,910.40",565.4,"23,464.70",6.8
England,2007 Q4 (end December),Thousands,Cars,"1,842.70","1,805.20","1,879.30","1,946.70","2,007.70","2,042.80","6,679.30","3,042.50","1,977.80",551.8,"23,775.80",6.9
England,2008 Q4 (end December),Thousands,Cars,"1,665.80","1,860.90","1,811.40","1,848.30","1,971.00","2,002.30","7,049.90","3,219.30","2,046.70",521.1,"23,996.60",7
England,2009 Q4 (end December),Thousands,Cars,"1,575.50","1,654.40","1,851.00","1,770.40","1,865.30","1,966.60","7,392.40","3,324.50","2,148.80",489.4,"24,038.40",7.2
England,2010 Q4 (end December),Thousands,Cars,"1,591.60","1,537.80","1,619.80","1,803.80","1,775.00","1,843.90","7,571.50","3,540.40","2,312.30",501.9,"24,098.00",7.4
England,2011 Q4 (end December),Thousands,Cars,"1,518.00","1,564.70","1,520.40","1,577.40","1,822.30","1,773.20","7,490.50","3,944.40","2,488.20",468.6,"24,167.80",7.6
England,2012 Q4 (end December),Thousands,Cars,"1,601.00","1,491.00","1,537.70","1,479.60","1,596.70","1,818.80","7,269.30","4,360.70","2,747.50",440.7,"24,342.80",7.8
England,2013 Q4 (end December),Thousands,Cars,"1,791.20","1,574.80","1,469.20","1,498.20","1,504.50","1,591.60","7,116.00","4,647.70","3,071.10",417.8,"24,682.00",7.9
England,2014 Q4 (end December),Thousands,Cars,"1,960.90","1,746.70","1,537.70","1,409.40","1,513.30","1,494.50","6,757.90","4,733.00","3,537.30",400.4,"25,091.20",8
England,2015 Q4 (end December),Thousands,Cars,"2,088.40","1,913.40","1,701.40","1,487.90","1,434.40","1,503.50","6,399.80","4,625.80","4,067.80",385.2,"25,607.50",8.1
England,2016 Q4 (end December),Thousands,Cars,"2,160.10","2,055.50","1,878.40","1,656.50","1,516.90","1,431.30","6,166.80","4,516.90","4,531.00",369.9,"26,283.30",8.1
England,2017 Q4 (end December),Thousands,Cars,"2,022.10","2,110.60","2,003.70","1,809.40","1,682.20","1,508.90","5,802.40","4,448.90","4,837.70",349.5,"26,575.30",8.1
England,2018 Q4 (end December),Thousands,Cars,"1,898.40","1,994.10","2,048.90","1,924.50","1,832.70","1,670.80","5,748.10","4,275.80","5,105.80",340.1,"26,839.20",8.2
England,2019 Q4 (end December),Thousands,Cars,"1,853.40","1,852.40","1,940.20","1,974.70","1,953.40","1,826.20","5,934.40","4,093.30","5,383.60",334.5,"27,146.10",8.3
England,2020 Q4 (end December),Thousands,Cars,"1,335.00","1,793.90","1,789.60","1,827.80","1,989.20","1,950.60","6,276.40","3,949.40","5,799.30",324.8,"27,036.10",8.7
England,2021 Q4 (end December),Thousands,Cars,"1,364.50","1,298.00","1,761.70","1,721.20","1,867.80","1,994.50","6,827.90","3,917.40","6,045.70",325.6,"27,124.30",8.9
England,2022 Q4 (end December),Thousands,Cars,"1,337.30","1,316.80","1,268.10","1,712.20","1,760.40","1,883.30","7,332.50","3,991.70","6,453.40",332.8,"27,388.50",9.3
England,2023 Q4 (end December),Thousands,Cars,"1,564.40","1,288.80","1,282.90","1,199.00","1,724.50","1,761.10","7,539.90","4,187.20","6,832.20",342,"27,721.90",9.5
England,2024 Q4 (end December),Thousands,Cars,"1,588.70","1,508.20","1,253.70","1,222.60","1,222.90","1,727.00","7,482.90","4,594.30","7,095.10",356.4,"28,051.70",9.7
England,2025 Q4 (end December),Thousands,Cars,"1,649.20","1,543.50","1,472.10","1,195.50","1,240.50","1,228.00","7,270.10","5,055.90","7,468.80",377.1,"28,500.70",9.9
England,1994 Q4 (end December),Thousands,Heavy goods vehicles,32.5,25.2,22.8,21.7,30,41.8,115.2,37.1,27.5,2.2,355.8,6.6
England,1995 Q4 (end December),Thousands,Heavy goods vehicles,39.2,32.5,24.4,21.7,20.9,28,119.4,41.8,27.4,4,359.2,6.5
England,1996 Q4 (end December),Thousands,Heavy goods vehicles,37.3,38.8,31.1,23,20.5,19.1,116.3,44.5,31.6,4.2,366.5,6.6
England,1997 Q4 (end December),Thousands,Heavy goods vehicles,35.8,39.2,37.9,30.2,21.9,18.9,102.6,48.3,35.8,4.2,374.9,6.7
England,1998 Q4 (end December),Thousands,Heavy goods vehicles,44.4,37.8,36.9,34.9,27.6,19.7,82.3,54.1,39.9,4.3,382,6.6
England,1999 Q4 (end December),Thousands,Heavy goods vehicles,43.7,44.3,34.8,34.5,33.7,26.1,69.2,61.8,44.1,4.5,396.7,6.6
England,2000 Q4 (end December),Thousands,Heavy goods vehicles,46.1,42.7,42.4,33.1,33.1,31.1,70.4,57.6,48.9,4.8,410.1,6.6
England,2001 Q4 (end December),Thousands,Heavy goods vehicles,46.8,44.9,40.8,39,31,29.5,79.9,43.3,54.8,5.1,415.2,6.5
England,2002 Q4 (end December),Thousands,Heavy goods vehicles,43.8,45.8,43.2,38.3,36.2,28.6,87.4,32.1,60.1,5.4,421,6.5
England,2003 Q4 (end December),Thousands,Heavy goods vehicles,46.3,42.4,43.7,39.2,36.3,32.6,91.2,28.9,59.6,5.8,426,6.5
