Year,England,Scotland,Wales
2025,292.6,30.8,19.2
2024,287,30.4,18.8
2023,282.5,29.8,18.5
2022,276.3,29.2,18.2
2021,254.4,26.7,16.5
2020,228.2,23.2,14.6
2019,289.5,30,19.1
2018,285.5,29.7,18.9
2017,284.2,29.7,18.6
2016,280.4,28.9,18.6
2015,274.5,28,17.9
2014,269.4,27.6,17.4
2013,262,27,16.8
2012,261.1,26.8,16.6
2011,261.1,26.6,16.6
2010,260,26.6,16.5
2009,263.6,26.9,16.7
2008,266.5,27.1,17
2007,269,27.2,17.1
2006,266.6,26.8,16.9
2005,263.3,26,16.5
2004,263.1,26,16.6
2003,259.9,26,16.2
2002,258.5,25.7,16
2001,253.2,24.7,15.5
2000,249.7,24.4,15.4
1999,250.1,24.6,15.5
1998,245.5,24.2,15.2
1997,241,23.8,15
1996,236.1,23.3,14.7
1995,230,22.7,14.3
1994,225.7,22.2,14.1
1993,220.8,21.7,13.7
